id;code_etablissement;bic
629;18930;COFTFR21XXX
630;18950;CSCAFR21XXX
631;18973;MOSFFRP1
632;18979;ABCOFRPPXXX
633;18989;AARBFRP1XXX
634;19000;IVSTFRP1XXX
635;19020;CRMSGPG1XXX
636;19053;CLACFRP1XXX
637;19063;SALAFR2MXXX
638;19069;KBLXFRPPXXX
639;19089;BQORFRCC
640;19106;AGRIFRPP891
641;19110;OCLTPFT1XXX
642;19139;MENFFRP1XXX
643;19150;CRSFFRP1XXX
644;19169;FIMUFR21
645;19173;EXPAFRP1
646;19189;SOCMFRP1XXX
647;19190;OCLRRER1XXX
648;19229;BSABFRPPXXX
649;19230;CRLGFRP1XXX
650;19239;NATFFRP1
651;19249;GEEFFRP1XXX
652;19250;CGLEFR21XXX
653;19253;SILIFRP1XXX
654;19259;SOGFFRP1XXX
655;19269;GENNFR21XXX
656;19339;GCBLFRP1XXX
657;19340;SFEDFRP1XXX
658;19400;COGFFRP1XXX
659;19406;AGRIFRPP894
660;19443;SKISFRP1XXX
661;19460;SFAXFRPPXXX
662;19479;SCUEFR21XXX
663;19506;AGRIFRPP895
664;19519;GEDIFR21XXX
665;19530;AGRIFRPI
666;19553;PROCFRPPXXX
667;19560;SGCUFR21XXX
668;19570;UFIFFRP1XXX
669;19649;SFGFFRCPXXX
670;19730;NOMAFRP1XXX
671;19806;AGRIMQMX
672;19825;CEPANCNMXXX
673;19850;COGPFR21XXX
674;19870;SOAPFR21XXX
675;19906;AGRIRERX
676;19930;CINEFRP1XXX
677;19940;ENEEFRP1XXX
678;19953;GIFNFRP1XXX
679;19990;SSGIFR21XXX
680;20019;SFDIFR21XXX
681;20041;PSSTFRPPXXX
682;20041;PSSTFRPPPAR
683;20041;PSSTFRPPAJA
684;20041;PSSTFRPPBOR
685;20041;PSSTFRPPCHA
686;20041;PSSTFRPPCLE
687;20041;PSSTFRPPDIJ
688;20041;PSSTFRPPGRE
689;20041;PSSTFRPPLIL
690;20041;PSSTFRPPLIM
691;20041;PSSTFRPPLYO
692;20041;PSSTFRPPMAR
693;20041;PSSTFRPPMON
694;20041;PSSTFRPPNCY
695;20041;PSSTFRPPNTE
696;20041;PSSTFRPPSCE
697;20041;PSSTFRPPFDF
698;20041;PSSTFRPPSDR
699;20041;PSSTFRPPBTE
700;20041;PSSTFRPPCAY
701;20041;PSSTFRPPREN
702;20041;PSSTFRPPROU
703;20041;PSSTFRPPSTR
704;20041;PSSTFRPPTOU
705;20280;SPIFFRP1XXX
706;20290;CMCMFRP1XXX
707;20380;CAOAFRP1XXX
708;21120;LOYDMCMXXXX
709;21339;FOLFFRP1XXX
710;21349;PAILFRP1XXX
711;21570;NEFXFR21XXX
712;21619;SOBLFRP1XXX
713;21670;CPBIFRPPXXX
714;21859;BOGAFR21XXX
715;21990;FNAAFRP1001
716;22840;SCFFFR21XXX
717;22910;TRFIFR21XXX
718;22970;EPCMFRP1XXX
719;23380;DERAFRP1XXX
720;23779;BYBBFRPPXXX
